literature_id,reference_short,doi,year,source_dataset,formulation_id,electrolyte,method,current_ma_cm2,capacity_mah_cm2,cycle,ce_percent,lce,reference_id,solvent_1_volume_fraction,solvent_2_volume_fraction,solvent_3_volume_fraction,solvent_1_molarity,solvent_2_molarity,solvent_3_molarity,salt_1_molarity,salt_2_molarity,salt_3_molarity,fc,oc,fo,inor,f_total,f_solvent,f_anion,o_total,o_solvent,o_anion,c_total,c_solvent,c_anion,reference_text
cui2023_011,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dmc_1_2_vol,1 M LiPF6 EC-DMC (1:2 vol),Cycle,0.5,0.5,100.0,86.0,0.8538719643217619,36.0,0.333,0.667,,4.991483273148464,7.923022269588579,,1.0,,,0.15486462051385122,1.0,0.15486462051385122,1.1806753905994931,0.03921796758969597,0.0,0.03921796758969597,0.25324032990600515,0.25324032990600515,0.0,0.25324032990600515,0.25324032990600515,0.0,"Ma, Y. et al. Enabling reliable lithium metal batteries by a bifunctional anionic electrolyte additive. Energy Storage Mater. 11, 197–204 (2018)."
cui2023_012,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dec_3_7_wt,1 M LiPF6 EC-DEC (3:7 wt),Cycle,0.1,0.1,160.0,87.0,0.8860566476931632,37.0,0.2404438964241677,0.7595561035758323,,3.604119180576201,6.269086607859447,,1.0,,,0.14232244900188032,0.7025894136548511,0.20256845069942458,0.8686322708237114,0.03824463481264038,0.0,0.03824463481264038,0.18879857490438423,0.18879857490438423,0.0,0.2687182175465172,0.2687182175465172,0.0,"Schedlbauer, T. et al. Lithium difluoro(oxalato)borate: A promising salt for lithium metal based secondary batteries? Electrochim. Acta 92, 102–107 (2013)."
cui2023_013,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dec_1_1_vol,1 M LiPF6-EC/DEC (1:1 vol.),Cycle,0.5,0.5,100.0,88.0,0.9208187539523752,38.0,0.5,0.5,,7.494719629352049,4.126809447219165,,1.0,,,0.1391523567266217,0.808581579885922,0.17209439367423368,0.9709259960669807,0.038160713073204684,0.0,0.012720237691068228,0.22174291828146975,0.22174291828146975,0.025440475382136455,0.27423691535584344,0.27423691535584344,0.0,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021)."
cui2023_014,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_6m_litfsi_0_4m_libob_ec_emc_5_5_wt,0.6M LiTFSI 0.4M LiBOB EC-EMC (5:5 wt),Aurbach,0.5,1.0,10.0,88.1,0.9244530386074693,7.0,0.43250214961306965,0.5674978503869303,,6.482964700884059,5.483966394079497,,0.6,0.4,,0.08147605704220742,0.9392558336046142,0.08674532978892872,1.0705228143948373,0.022182629935841598,0.0,0.022182629935841598,0.2557213165229416,0.2212150032894102,0.03450631323353137,0.2722594924340807,0.25500633581731497,0.017253156616765686,"Li, X. et al. Dendrite-Free and Performance-Enhanced Lithium Metal Batteries through Optimizing Solvent Compositions and Adding Combinational Additives. Adv. Energy Mater. 8, 1703022 (2018)."
cui2023_015,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lipf6_ec_dec_1_1_w_w,1M LiPF6 EC-DEC (1:1 w/w),Cycle,1.0,1.0,40.0,90.3,1.0132282657337552,10.0,0.42483660130718953,0.5751633986928105,,6.368062430168407,4.747179494840347,,1.0,,,0.14005574528981776,0.7783767459418648,0.17993310568437537,0.9417751154466522,0.038184977590837735,0.0,0.038184977590837735,0.21221763191159967,0.21221763191159967,0.0,0.2726412794549874,0.2726412794549874,0.0,"Genovese, M. et al. Combinatorial Methods for Improving Lithium Metal Cycling Efficiency. J. Electrochem. Soc. 165, A3000–A3013 (2018)."
cui2023_016,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dmc_1_2_vol_2_ttfeb,1 M LiPF6 EC-DMC (1:2 vol) 2% TTFEB,Cycle,0.5,0.5,100.0,91.0,1.0457574905606752,36.0,0.333,0.667,0.02,4.991483273148464,7.923022269588579,,1.0,,,0.17393877666695223,0.992909949272025,0.17518081754994952,1.1946568469288068,0.04401388163655653,0.005382249884436918,0.03863163175211961,0.2512482944886748,0.2512482944886748,0.0,0.25304237778348715,0.25304237778348715,0.0,"Ma, Y. et al. Enabling reliable lithium metal batteries by a bifunctional anionic electrolyte additive. Energy Storage Mater. 11, 197–204 (2018)."
cui2023_017,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_6m_litfsi_0_4m_libob_ec_emc_7_3_wt,0.6M LiTFSI 0.4M LiBOB EC-EMC (7:3 wt),Aurbach,0.5,1.0,10.0,91.6,1.075720713938118,7.0,0.6400654426467914,0.35993455735320845,,9.59422207414963,3.478196464087141,,0.6,0.4,,0.07912878838449285,0.9850930931972601,0.08032620361560863,1.1125783633722766,0.022043267937924684,0.0,0.022043267937924684,0.2744218815993108,0.2401323536958724,0.0342895279034384,0.27857456670276254,0.2614298027510433,0.0171447639517192,"Li, X. et al. Dendrite-Free and Performance-Enhanced Lithium Metal Batteries through Optimizing Solvent Compositions and Adding Combinational Additives. Adv. Energy Mater. 8, 1703022 (2018)."
cui2023_018,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_6m_litfsi_0_4m_libob_ec_emc_9_1_wt,0.6M LiTFSI 0.4M LiBOB EC-EMC (9:1 wt),Aurbach,0.5,1.0,10.0,91.7,1.0809219076239263,7.0,0.8727588201272412,0.12724117987275882,,13.082165321795536,1.2295841365557074,,0.6,0.4,,0.07665309993621504,1.0334381233672256,0.07417289744107577,1.1569347843755722,0.021889100478487408,0.0,0.021889100478487408,0.29510914678608163,0.2610594349306568,0.03404971185542486,0.28556053827831984,0.2685356823506074,0.01702485592771243,"Li, X. et al. Dendrite-Free and Performance-Enhanced Lithium Metal Batteries through Optimizing Solvent Compositions and Adding Combinational Additives. Adv. Energy Mater. 8, 1703022 (2018)."
cui2023_019,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_fec_dmc_1_1_v,1 M LiPF6 FEC-DMC (1:1 v),Cycle,1.0,1.0,50.0,91.78,1.08512818245995,38.0,0.5,0.5,,6.8549983970430155,5.9392970536646015,,1.0,,,0.33491484405606825,1.0,0.3349148440560682,1.3609681218326808,0.08696295308457,0.04637347167106454,0.04058948141350546,0.2596569086976972,0.2596569086976972,0.0,0.2596569086976972,0.2596569086976972,0.0,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021)."
cui2023_020,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_fec_ec_dec_2_9_9_vol,1 M LiPF6 FEC-EC-DEC (2:9:9 vol),Cycle,0.5,1.0,150.0,92.2,1.1079053973095199,39.0,0.1,0.45,0.45,1.3709996794086032,6.7452476664168435,3.714128502497249,1.0,,,0.17174057262699097,0.826925360582763,0.20768570032240805,1.0219654285423558,0.047244914118630334,0.008787513896015538,0.0384574002226148,0.22748274939145094,0.22748274939145094,0.0,0.27509465815770356,0.27509465815770356,0.0,"Gu, S. et al. Nitrate Additives Coordinated with Crown Ether Stabilize Lithium Metal Anodes in Carbonate Electrolyte. Adv. Funct. Mater. 31, 2102128 (2021)."
