molecule,count_c,count_h,count_o,count_f,count_n,count_s,count_p,other_elements,molecular_weight,density_g_ml,molarity_pure,smiles
F6DEE,6.0,8.0,2.0,6.0,,,,,226.124,1.4,6.1912932727176235,FC(F)(F)COCCOCC(F)(F)(F)
,,,,,,,,,,,,
Salt,,,,,,,,B/Cl/As/Si etc.,,,,
LiFSI,,,4.0,2.0,1.0,2.0,,,,,,
LiPF6,,,,6.0,,,1.0,,,,,
LiTFSI,2.0,,4.0,6.0,1.0,2.0,,,,,,
LiBOB,4.0,,8.0,,,,,1,,,,
LiDFP,,,2.0,2.0,,,1.0,,,,,
LiNO3,,,3.0,,1.0,,,,62.01,,,
LiDFOB,2.0,,4.0,2.0,,,,1,,,,
LiTFPFB,3.0,,1.0,12.0,,,,1,,,,
LiBF4,,,,4.0,,,,1,,,,
LiFNFSI,3.0,,4.0,10.0,1.0,2.0,,,,,,
LiPO2F2,,,2.0,2.0,,,1.0,,,,,
LiAsF6,,,,6.0,,,,1,,,,
LiClO4,,,4.0,,,,,1,,,,
Li2S5,,,,,,5.0,,,,,,
TMS-FNFSI ((CH3)3Si-N[(FSO2)(C4F9SO2)]),7.0,9.0,4.0,10.0,,2.0,,1,439.35699999999997,,,
RbNO3,,,3.0,,1.0,,,1,,,,
LiBETI,4.0,,4.0,10.0,1.0,2.0,,,,,,
